[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
513,100,2,1,50,100,100,1.5,35
533,100,2,1,50,100,100,1.5,23
528,100,2,1,50,100,100,1.5,26
536,100,2,1,50,100,100,1.5,26
531,100,2,1,50,100,100,1.5,39
532,100,2,1,50,100,100,1.5,24
539,100,2,1,50,100,100,1.5,21
541,100,2,1,50,100,100,1.5,17
540,100,2,1,50,100,100,1.5,21
537,100,2,1,50,100,100,1.5,22
535,100,2,1,50,100,100,1.5,23
534,100,2,1,50,100,100,1.5,26
544,100,2,1,50,100,100,1.5,22
542,100,2,1,50,100,100,1.5,25
546,100,2,1,50,100,100,1.5,26
548,100,2,1,50,100,100,1.5,21
545,100,2,1,50,100,100,1.5,22
547,100,2,1,50,100,100,1.5,21
538,100,2,1,50,100,100,1.5,31
551,100,2,1,50,100,100,1.5,22
543,100,2,1,50,100,100,1.5,22
553,100,2,1,50,100,100,1.5,23
552,100,2,1,50,100,100,1.5,24
549,100,2,1,50,100,100,1.5,28
559,100,2,1,50,100,100,1.5,22
557,100,2,1,50,100,100,1.5,27
554,100,2,1,50,100,100,1.5,24
558,100,2,1,50,100,100,1.5,26
564,100,2,1,50,100,100,1.5,21
555,100,2,1,50,100,100,1.5,27
556,100,2,1,50,100,100,1.5,31
560,100,2,1,50,100,100,1.5,33
561,100,2,1,50,100,100,1.5,20
566,100,2,1,50,100,100,1.5,24
567,100,2,1,50,100,100,1.5,24
568,100,2,1,50,100,100,1.5,27
565,100,2,1,50,100,100,1.5,22
563,100,2,1,50,100,100,1.5,36
570,100,2,1,50,100,100,1.5,19
572,100,2,1,50,100,100,1.5,19
569,100,2,1,50,100,100,1.5,31
562,100,2,1,50,100,100,1.5,32
571,100,2,1,50,100,100,1.5,27
578,100,2,1,50,100,100,1.5,22
550,100,2,1,50,100,100,1.5,36
573,100,2,1,50,100,100,1.5,36
576,100,2,1,50,100,100,1.5,32
579,100,2,1,50,100,100,1.5,26
575,100,2,1,50,100,100,1.5,27
580,100,2,1,50,100,100,1.5,23
574,100,2,1,50,100,100,1.5,31
577,100,2,1,50,100,100,1.5,28
582,100,2,1,50,100,100,1.5,26
581,100,2,1,50,100,100,1.5,28
583,100,2,1,50,100,100,1.5,31
584,100,2,1,50,100,100,1.5,34
585,100,2,1,50,100,100,1.5,35
591,100,2,1,50,100,100,1.5,23
588,100,2,1,50,100,100,1.5,27
590,100,2,1,50,100,100,1.5,26
586,100,2,1,50,100,100,1.5,34
594,100,2,1,50,100,100,1.5,21
589,100,2,1,50,100,100,1.5,29
593,100,2,1,50,100,100,1.5,22
592,100,2,1,50,100,100,1.5,32
595,100,2,1,50,100,100,1.5,24
596,100,2,1,50,100,100,1.5,26
600,100,2,1,50,100,100,1.5,21
604,100,2,1.5,50,100,100,1.5,21
599,100,2,1,50,100,100,1.5,32
597,100,2,1,50,100,100,1.5,27
603,100,2,1.5,50,100,100,1.5,30
601,100,2,1.5,50,100,100,1.5,25
602,100,2,1.5,50,100,100,1.5,25
598,100,2,1,50,100,100,1.5,28
607,100,2,1.5,50,100,100,1.5,24
606,100,2,1.5,50,100,100,1.5,34
609,100,2,1.5,50,100,100,1.5,39
605,100,2,1.5,50,100,100,1.5,37
612,100,2,1.5,50,100,100,1.5,20
610,100,2,1.5,50,100,100,1.5,37
613,100,2,1.5,50,100,100,1.5,25
614,100,2,1.5,50,100,100,1.5,25
616,100,2,1.5,50,100,100,1.5,24
608,100,2,1.5,50,100,100,1.5,48
618,100,2,1.5,50,100,100,1.5,28
619,100,2,1.5,50,100,100,1.5,18
587,100,2,1,50,100,100,1.5,31
617,100,2,1.5,50,100,100,1.5,33
621,100,2,1.5,50,100,100,1.5,26
620,100,2,1.5,50,100,100,1.5,25
626,100,2,1.5,50,100,100,1.5,17
622,100,2,1.5,50,100,100,1.5,27
611,100,2,1.5,50,100,100,1.5,25
623,100,2,1.5,50,100,100,1.5,26
627,100,2,1.5,50,100,100,1.5,20
628,100,2,1.5,50,100,100,1.5,28
625,100,2,1.5,50,100,100,1.5,29
624,100,2,1.5,50,100,100,1.5,46
615,100,2,1.5,50,100,100,1.5,22
632,100,2,1.5,50,100,100,1.5,24
631,100,2,1.5,50,100,100,1.5,21
630,100,2,1.5,50,100,100,1.5,34
636,100,2,1.5,50,100,100,1.5,25
637,100,2,1.5,50,100,100,1.5,21
633,100,2,1.5,50,100,100,1.5,33
635,100,2,1.5,50,100,100,1.5,25
638,100,2,1.5,50,100,100,1.5,19
629,100,2,1.5,50,100,100,1.5,26
639,100,2,1.5,50,100,100,1.5,32
640,100,2,1.5,50,100,100,1.5,34
634,100,2,1.5,50,100,100,1.5,45
641,100,2,1.5,50,100,100,1.5,32
