[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
418,100,10,0,50,100,100,0.4,25
413,100,10,0,50,100,100,0.4,22
416,100,10,0,50,100,100,0.4,23
421,100,10,0,50,100,100,0.4,27
422,100,10,0,50,100,100,0.4,21
417,100,10,0,50,100,100,0.4,29
423,100,10,0,50,100,100,0.4,24
424,100,10,0,50,100,100,0.4,21
420,100,10,0,50,100,100,0.4,29
426,100,10,0,50,100,100,0.4,23
427,100,10,0,50,100,100,0.4,25
429,100,10,0,50,100,100,0.4,20
430,100,10,0,50,100,100,0.4,22
428,100,10,0,50,100,100,0.4,25
412,100,10,0,50,100,100,0.4,20
434,100,10,0,50,100,100,0.4,20
433,100,10,0,50,100,100,0.4,23
432,100,10,0,50,100,100,0.4,20
425,100,10,0,50,100,100,0.4,23
437,100,10,0,50,100,100,0.4,27
440,100,10,0,50,100,100,0.4,21
441,100,10,0,50,100,100,0.4,21
439,100,10,0,50,100,100,0.4,34
442,100,10,0,50,100,100,0.4,23
419,100,10,0,50,100,100,0.4,27
438,100,10,0,50,100,100,0.4,35
431,100,10,0,50,100,100,0.4,27
435,100,10,0,50,100,100,0.4,23
436,100,10,0,50,100,100,0.4,21
443,100,10,0,50,100,100,0.4,28
445,100,10,0,50,100,100,0.4,23
446,100,10,0,50,100,100,0.4,25
444,100,10,0,50,100,100,0.4,21
449,100,10,0,50,100,100,0.4,26
453,100,10,0,50,100,100,0.4,18
450,100,10,0,50,100,100,0.4,23
451,100,10,0,50,100,100,0.4,25
455,100,10,0,50,100,100,0.4,20
452,100,10,0,50,100,100,0.4,31
460,100,10,0,50,100,100,0.4,21
461,100,10,0,50,100,100,0.4,25
459,100,10,0,50,100,100,0.4,26
447,100,10,0,50,100,100,0.4,22
448,100,10,0,50,100,100,0.4,21
463,100,10,0,50,100,100,0.4,20
454,100,10,0,50,100,100,0.4,25
466,100,10,0,50,100,100,0.4,20
465,100,10,0,50,100,100,0.4,27
457,100,10,0,50,100,100,0.4,28
464,100,10,0,50,100,100,0.4,31
467,100,10,0,50,100,100,0.4,25
462,100,10,0,50,100,100,0.4,26
468,100,10,0,50,100,100,0.4,24
458,100,10,0,50,100,100,0.4,21
469,100,10,0,50,100,100,0.4,24
470,100,10,0,50,100,100,0.4,25
471,100,10,0,50,100,100,0.4,25
474,100,10,0,50,100,100,0.4,24
472,100,10,0,50,100,100,0.4,21
477,100,10,0,50,100,100,0.4,20
476,100,10,0,50,100,100,0.4,23
473,100,10,0,50,100,100,0.4,26
482,100,10,0,50,100,100,0.4,28
479,100,10,0,50,100,100,0.4,33
480,100,10,0,50,100,100,0.4,27
475,100,10,0,50,100,100,0.4,27
485,100,10,0,50,100,100,0.4,36
484,100,10,0,50,100,100,0.4,31
481,100,10,0,50,100,100,0.4,23
486,100,10,0,50,100,100,0.4,27
487,100,10,0,50,100,100,0.4,20
478,100,10,0,50,100,100,0.4,25
483,100,10,0,50,100,100,0.4,23
489,100,10,0,50,100,100,0.4,24
456,100,10,0,50,100,100,0.4,25
490,100,10,0,50,100,100,0.4,20
488,100,10,0,50,100,100,0.4,24
492,100,10,0,50,100,100,0.4,24
493,100,10,0,50,100,100,0.4,25
495,100,10,0,50,100,100,0.4,24
494,100,10,0,50,100,100,0.4,30
496,100,10,0,50,100,100,0.4,24
497,100,10,0,50,100,100,0.4,24
500,100,10,0,50,100,100,0.4,29
499,100,10,0,50,100,100,0.4,25
503,100,10,0,50,100,100,0.5,20
491,100,10,0,50,100,100,0.4,26
505,100,10,0,50,100,100,0.5,21
498,100,10,0,50,100,100,0.4,23
507,100,10,0,50,100,100,0.5,21
502,100,10,0,50,100,100,0.5,21
511,100,10,0,50,100,100,0.5,18
501,100,10,0,50,100,100,0.5,26
512,100,10,0,50,100,100,0.5,24
504,100,10,0,50,100,100,0.5,20
508,100,10,0,50,100,100,0.5,35
513,100,10,0,50,100,100,0.5,24
514,100,10,0,50,100,100,0.5,25
515,100,10,0,50,100,100,0.5,23
517,100,10,0,50,100,100,0.5,24
516,100,10,0,50,100,100,0.5,20
519,100,10,0,50,100,100,0.5,24
509,100,10,0,50,100,100,0.5,34
521,100,10,0,50,100,100,0.5,25
510,100,10,0,50,100,100,0.5,45
520,100,10,0,50,100,100,0.5,21
525,100,10,0,50,100,100,0.5,30
518,100,10,0,50,100,100,0.5,33
523,100,10,0,50,100,100,0.5,33
526,100,10,0,50,100,100,0.5,22
527,100,10,0,50,100,100,0.5,22
522,100,10,0,50,100,100,0.5,29
524,100,10,0,50,100,100,0.5,30
528,100,10,0,50,100,100,0.5,23
529,100,10,0,50,100,100,0.5,27
531,100,10,0,50,100,100,0.5,20
533,100,10,0,50,100,100,0.5,24
506,100,10,0,50,100,100,0.5,24
534,100,10,0,50,100,100,0.5,20
530,100,10,0,50,100,100,0.5,26
532,100,10,0,50,100,100,0.5,21
536,100,10,0,50,100,100,0.5,22
537,100,10,0,50,100,100,0.5,21
538,100,10,0,50,100,100,0.5,23
535,100,10,0,50,100,100,0.5,24
539,100,10,0,50,100,100,0.5,26
540,100,10,0,50,100,100,0.5,21
544,100,10,0,50,100,100,0.5,20
545,100,10,0,50,100,100,0.5,25
543,100,10,0,50,100,100,0.5,32
542,100,10,0,50,100,100,0.5,25
546,100,10,0,50,100,100,0.5,25
547,100,10,0,50,100,100,0.5,20
541,100,10,0,50,100,100,0.5,23
548,100,10,0,50,100,100,0.5,23
551,100,10,0,50,100,100,0.5,21
549,100,10,0,50,100,100,0.5,23
550,100,10,0,50,100,100,0.5,24
555,100,10,0,50,100,100,0.5,23
553,100,10,0,50,100,100,0.5,24
552,100,10,0,50,100,100,0.5,25
556,100,10,0,50,100,100,0.5,24
557,100,10,0,50,100,100,0.5,25
554,100,10,0,50,100,100,0.5,28
559,100,10,0,50,100,100,0.5,21
558,100,10,0,50,100,100,0.5,29
561,100,10,0,50,100,100,0.5,27
563,100,10,0,50,100,100,0.5,24
565,100,10,0,50,100,100,0.5,23
564,100,10,0,50,100,100,0.5,26
562,100,10,0,50,100,100,0.5,27
569,100,10,0,50,100,100,0.5,27
568,100,10,0,50,100,100,0.5,27
566,100,10,0,50,100,100,0.5,28
572,100,10,0,50,100,100,0.5,21
574,100,10,0,50,100,100,0.5,27
571,100,10,0,50,100,100,0.5,31
570,100,10,0,50,100,100,0.5,26
573,100,10,0,50,100,100,0.5,24
575,100,10,0,50,100,100,0.5,32
576,100,10,0,50,100,100,0.5,31
578,100,10,0,50,100,100,0.5,19
579,100,10,0,50,100,100,0.5,23
560,100,10,0,50,100,100,0.5,24
581,100,10,0,50,100,100,0.5,25
577,100,10,0,50,100,100,0.5,23
567,100,10,0,50,100,100,0.5,25
584,100,10,0,50,100,100,0.5,27
580,100,10,0,50,100,100,0.5,24
585,100,10,0,50,100,100,0.5,29
582,100,10,0,50,100,100,0.5,35
583,100,10,0,50,100,100,0.5,28
591,100,10,0,50,100,100,0.5,24
589,100,10,0,50,100,100,0.5,24
586,100,10,0,50,100,100,0.5,29
590,100,10,0,50,100,100,0.5,26
592,100,10,0,50,100,100,0.5,25
594,100,10,0,50,100,100,0.5,25
587,100,10,0,50,100,100,0.5,26
595,100,10,0,50,100,100,0.5,22
588,100,10,0,50,100,100,0.5,32
593,100,10,0,50,100,100,0.5,24
599,100,10,0,50,100,100,0.5,21
596,100,10,0,50,100,100,0.5,21
597,100,10,0,50,100,100,0.5,27
603,100,10,0,50,100,100,0.6,24
605,100,10,0,50,100,100,0.6,21
600,100,10,0,50,100,100,0.5,33
604,100,10,0,50,100,100,0.6,27
602,100,10,0,50,100,100,0.6,41
601,100,10,0,50,100,100,0.6,35
607,100,10,0,50,100,100,0.6,19
598,100,10,0,50,100,100,0.5,28
608,100,10,0,50,100,100,0.6,21
606,100,10,0,50,100,100,0.6,32
611,100,10,0,50,100,100,0.6,21
614,100,10,0,50,100,100,0.6,21
612,100,10,0,50,100,100,0.6,26
613,100,10,0,50,100,100,0.6,30
609,100,10,0,50,100,100,0.6,22
615,100,10,0,50,100,100,0.6,33
610,100,10,0,50,100,100,0.6,24
617,100,10,0,50,100,100,0.6,25
616,100,10,0,50,100,100,0.6,32
621,100,10,0,50,100,100,0.6,20
618,100,10,0,50,100,100,0.6,28
619,100,10,0,50,100,100,0.6,28
622,100,10,0,50,100,100,0.6,26
625,100,10,0,50,100,100,0.6,21
624,100,10,0,50,100,100,0.6,28
626,100,10,0,50,100,100,0.6,28
620,100,10,0,50,100,100,0.6,25
627,100,10,0,50,100,100,0.6,33
629,100,10,0,50,100,100,0.6,23
628,100,10,0,50,100,100,0.6,21
630,100,10,0,50,100,100,0.6,23
633,100,10,0,50,100,100,0.6,24
634,100,10,0,50,100,100,0.6,20
632,100,10,0,50,100,100,0.6,27
631,100,10,0,50,100,100,0.6,28
635,100,10,0,50,100,100,0.6,23
636,100,10,0,50,100,100,0.6,22
623,100,10,0,50,100,100,0.6,25
637,100,10,0,50,100,100,0.6,24
640,100,10,0,50,100,100,0.6,26
642,100,10,0,50,100,100,0.6,21
639,100,10,0,50,100,100,0.6,27
643,100,10,0,50,100,100,0.6,22
647,100,10,0,50,100,100,0.6,21
648,100,10,0,50,100,100,0.6,23
645,100,10,0,50,100,100,0.6,31
649,100,10,0,50,100,100,0.6,24
650,100,10,0,50,100,100,0.6,23
646,100,10,0,50,100,100,0.6,33
651,100,10,0,50,100,100,0.6,28
644,100,10,0,50,100,100,0.6,37
641,100,10,0,50,100,100,0.6,42
638,100,10,0,50,100,100,0.6,27
652,100,10,0,50,100,100,0.6,29
656,100,10,0,50,100,100,0.6,20
655,100,10,0,50,100,100,0.6,23
654,100,10,0,50,100,100,0.6,25
659,100,10,0,50,100,100,0.6,21
660,100,10,0,50,100,100,0.6,26
658,100,10,0,50,100,100,0.6,28
657,100,10,0,50,100,100,0.6,31
662,100,10,0,50,100,100,0.6,24
663,100,10,0,50,100,100,0.6,24
664,100,10,0,50,100,100,0.6,21
661,100,10,0,50,100,100,0.6,25
668,100,10,0,50,100,100,0.6,19
666,100,10,0,50,100,100,0.6,24
653,100,10,0,50,100,100,0.6,31
665,100,10,0,50,100,100,0.6,29
667,100,10,0,50,100,100,0.6,23
669,100,10,0,50,100,100,0.6,23
670,100,10,0,50,100,100,0.6,29
672,100,10,0,50,100,100,0.6,27
673,100,10,0,50,100,100,0.6,22
671,100,10,0,50,100,100,0.6,32
677,100,10,0,50,100,100,0.6,22
676,100,10,0,50,100,100,0.6,27
674,100,10,0,50,100,100,0.6,26
679,100,10,0,50,100,100,0.6,22
678,100,10,0,50,100,100,0.6,31
680,100,10,0,50,100,100,0.6,27
675,100,10,0,50,100,100,0.6,31
683,100,10,0,50,100,100,0.6,25
685,100,10,0,50,100,100,0.6,20
681,100,10,0,50,100,100,0.6,27
686,100,10,0,50,100,100,0.6,25
690,100,10,0,50,100,100,0.6,21
687,100,10,0,50,100,100,0.6,31
689,100,10,0,50,100,100,0.6,24
682,100,10,0,50,100,100,0.6,33
688,100,10,0,50,100,100,0.6,29
692,100,10,0,50,100,100,0.6,21
691,100,10,0,50,100,100,0.6,25
694,100,10,0,50,100,100,0.6,21
684,100,10,0,50,100,100,0.6,35
700,100,10,0,50,100,100,0.6,20
698,100,10,0,50,100,100,0.6,20
693,100,10,0,50,100,100,0.6,29
701,100,10,0,50,100,100,0.7,25
