[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
325,100,10,1,1,49,100,40,96
326,100,10,1,1,51,100,40,86
322,100,10,1,1,43,100,40,113
327,100,10,1,1,53,100,40,82
323,100,10,1,1,45,100,40,111
329,100,10,1,1,57,100,40,103
328,100,10,1,1,55,100,40,99
331,100,10,1,1,61,100,40,82
330,100,10,1,1,59,100,40,102
332,100,10,1,1,63,100,40,86
333,100,10,1,1,65,100,40,94
334,100,10,1,1,67,100,40,93
338,100,10,1,1,75,100,40,74
335,100,10,1,1,69,100,40,94
336,100,10,1,1,71,100,40,98
337,100,10,1,1,73,100,40,83
339,100,10,1,1,77,100,40,85
341,100,10,1,1,81,100,40,87
340,100,10,1,1,79,100,40,99
342,100,10,1,1,83,100,40,95
344,100,10,1,1,87,100,40,87
345,100,10,1,1,89,100,40,85
343,100,10,1,1,85,100,40,112
346,100,10,1,1,91,100,40,106
348,100,10,1,1,95,100,40,83
349,100,10,1,1,97,100,40,86
347,100,10,1,1,93,100,40,108
350,100,10,1,1,99,100,40,104
354,100,10,1,1,7,100,60,125
301,100,10,1,1,1,100,40,635
358,100,10,1,1,15,100,60,84
353,100,10,1,1,5,100,60,158
357,100,10,1,1,13,100,60,89
355,100,10,1,1,9,100,60,152
361,100,10,1,1,21,100,60,70
359,100,10,1,1,17,100,60,100
356,100,10,1,1,11,100,60,124
360,100,10,1,1,19,100,60,80
362,100,10,1,1,23,100,60,77
352,100,10,1,1,3,100,60,324
365,100,10,1,1,29,100,60,73
370,100,10,1,1,39,100,60,57
366,100,10,1,1,31,100,60,93
364,100,10,1,1,27,100,60,87
363,100,10,1,1,25,100,60,109
371,100,10,1,1,41,100,60,63
368,100,10,1,1,35,100,60,88
367,100,10,1,1,33,100,60,86
372,100,10,1,1,43,100,60,67
369,100,10,1,1,37,100,60,94
373,100,10,1,1,45,100,60,75
374,100,10,1,1,47,100,60,74
375,100,10,1,1,49,100,60,87
377,100,10,1,1,53,100,60,57
376,100,10,1,1,51,100,60,77
379,100,10,1,1,57,100,60,60
380,100,10,1,1,59,100,60,64
378,100,10,1,1,55,100,60,76
383,100,10,1,1,65,100,60,62
382,100,10,1,1,63,100,60,60
381,100,10,1,1,61,100,60,70
386,100,10,1,1,71,100,60,70
387,100,10,1,1,73,100,60,69
385,100,10,1,1,69,100,60,76
388,100,10,1,1,75,100,60,59
384,100,10,1,1,67,100,60,112
389,100,10,1,1,77,100,60,74
390,100,10,1,1,79,100,60,78
391,100,10,1,1,81,100,60,70
394,100,10,1,1,87,100,60,63
396,100,10,1,1,91,100,60,65
392,100,10,1,1,83,100,60,76
393,100,10,1,1,85,100,60,74
398,100,10,1,1,95,100,60,71
399,100,10,1,1,97,100,60,62
395,100,10,1,1,89,100,60,89
397,100,10,1,1,93,100,60,73
400,100,10,1,1,99,100,60,63
403,100,10,1,1,5,100,80,140
405,100,10,1,1,9,100,80,109
404,100,10,1,1,7,100,80,100
408,100,10,1,1,15,100,80,80
410,100,10,1,1,19,100,80,74
407,100,10,1,1,13,100,80,101
406,100,10,1,1,11,100,80,148
409,100,10,1,1,17,100,80,91
414,100,10,1,1,27,100,80,61
413,100,10,1,1,25,100,80,75
412,100,10,1,1,23,100,80,71
411,100,10,1,1,21,100,80,78
351,100,10,1,1,1,100,60,532
415,100,10,1,1,29,100,80,63
416,100,10,1,1,31,100,80,61
417,100,10,1,1,33,100,80,64
419,100,10,1,1,37,100,80,58
420,100,10,1,1,39,100,80,51
418,100,10,1,1,35,100,80,71
425,100,10,1,1,49,100,80,54
424,100,10,1,1,47,100,80,60
426,100,10,1,1,51,100,80,60
427,100,10,1,1,53,100,80,56
429,100,10,1,1,57,100,80,55
422,100,10,1,1,43,100,80,95
428,100,10,1,1,55,100,80,64
402,100,10,1,1,3,100,80,293
430,100,10,1,1,59,100,80,44
421,100,10,1,1,41,100,80,105
423,100,10,1,1,45,100,80,96
431,100,10,1,1,61,100,80,46
433,100,10,1,1,65,100,80,46
432,100,10,1,1,63,100,80,52
434,100,10,1,1,67,100,80,57
436,100,10,1,1,71,100,80,56
435,100,10,1,1,69,100,80,62
439,100,10,1,1,77,100,80,56
437,100,10,1,1,73,100,80,61
438,100,10,1,1,75,100,80,60
444,100,10,1,1,87,100,80,52
440,100,10,1,1,79,100,80,64
441,100,10,1,1,81,100,80,59
443,100,10,1,1,85,100,80,56
445,100,10,1,1,89,100,80,53
442,100,10,1,1,83,100,80,67
446,100,10,1,1,91,100,80,61
447,100,10,1,1,93,100,80,49
448,100,10,1,1,95,100,80,57
457,100,10,1,1,13,100,100,80
450,100,10,1,1,99,100,80,62
449,100,10,1,1,97,100,80,65
455,100,10,1,1,9,100,100,87
456,100,10,1,1,11,100,100,83
458,100,10,1,1,15,100,100,82
454,100,10,1,1,7,100,100,98
459,100,10,1,1,17,100,100,94
461,100,10,1,1,21,100,100,75
460,100,10,1,1,19,100,100,78
462,100,10,1,1,23,100,100,76
463,100,10,1,1,25,100,100,79
466,100,10,1,1,31,100,100,53
464,100,10,1,1,27,100,100,57
469,100,10,1,1,37,100,100,49
465,100,10,1,1,29,100,100,54
468,100,10,1,1,35,100,100,67
467,100,10,1,1,33,100,100,62
453,100,10,1,1,5,100,100,202
470,100,10,1,1,39,100,100,61
401,100,10,1,1,1,100,80,514
472,100,10,1,1,43,100,100,56
473,100,10,1,1,45,100,100,51
474,100,10,1,1,47,100,100,53
452,100,10,1,1,3,100,100,228
471,100,10,1,1,41,100,100,68
475,100,10,1,1,49,100,100,48
477,100,10,1,1,53,100,100,42
476,100,10,1,1,51,100,100,50
478,100,10,1,1,55,100,100,52
479,100,10,1,1,57,100,100,45
481,100,10,1,1,61,100,100,47
480,100,10,1,1,59,100,100,54
482,100,10,1,1,63,100,100,62
483,100,10,1,1,65,100,100,50
484,100,10,1,1,67,100,100,53
485,100,10,1,1,69,100,100,57
490,100,10,1,1,79,100,100,46
488,100,10,1,1,75,100,100,49
489,100,10,1,1,77,100,100,51
487,100,10,1,1,73,100,100,57
486,100,10,1,1,71,100,100,59
493,100,10,1,1,85,100,100,49
491,100,10,1,1,81,100,100,58
495,100,10,1,1,89,100,100,45
494,100,10,1,1,87,100,100,45
492,100,10,1,1,83,100,100,57
496,100,10,1,1,91,100,100,58
498,100,10,1,1,95,100,100,42
497,100,10,1,1,93,100,100,60
499,100,10,1,1,97,100,100,45
500,100,10,1,1,99,100,100,52
451,100,10,1,1,1,100,100,458
511,100,10,1,1,21,100,20,213
507,100,10,1,1,13,100,20,166
508,100,10,1,1,15,100,20,209
513,100,10,1,1,25,100,20,166
505,100,10,1,1,9,100,20,244
510,100,10,1,1,19,100,20,196
506,100,10,1,1,11,100,20,259
509,100,10,1,1,17,100,20,214
