[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
484,100,10,1,1,67,50,50,86
487,100,10,1,1,73,50,50,69
491,100,10,1,1,81,50,50,71
489,100,10,1,1,77,50,50,78
486,100,10,1,1,71,50,50,108
493,100,10,1,1,85,50,50,64
492,100,10,1,1,83,50,50,86
490,100,10,1,1,79,50,50,100
495,100,10,1,1,89,50,50,78
494,100,10,1,1,87,50,50,101
496,100,10,1,1,91,50,50,99
497,100,10,1,1,93,50,50,84
500,100,10,1,1,99,50,50,76
499,100,10,1,1,97,50,50,80
498,100,10,1,1,95,50,50,86
508,100,10,1,1,15,100,50,100
504,100,10,1,1,7,100,50,122
507,100,10,1,1,13,100,50,115
505,100,10,1,1,9,100,50,129
510,100,10,1,1,19,100,50,80
506,100,10,1,1,11,100,50,154
451,100,10,1,1,1,50,50,573
503,100,10,1,1,5,100,50,195
511,100,10,1,1,21,100,50,82
509,100,10,1,1,17,100,50,143
512,100,10,1,1,23,100,50,95
513,100,10,1,1,25,100,50,91
514,100,10,1,1,27,100,50,81
515,100,10,1,1,29,100,50,74
502,100,10,1,1,3,100,50,262
518,100,10,1,1,35,100,50,87
519,100,10,1,1,37,100,50,78
517,100,10,1,1,33,100,50,97
516,100,10,1,1,31,100,50,115
521,100,10,1,1,41,100,50,74
520,100,10,1,1,39,100,50,96
523,100,10,1,1,45,100,50,78
522,100,10,1,1,43,100,50,85
526,100,10,1,1,51,100,50,62
525,100,10,1,1,49,100,50,82
527,100,10,1,1,53,100,50,85
524,100,10,1,1,47,100,50,96
528,100,10,1,1,55,100,50,83
529,100,10,1,1,57,100,50,76
530,100,10,1,1,59,100,50,72
532,100,10,1,1,63,100,50,78
531,100,10,1,1,61,100,50,77
533,100,10,1,1,65,100,50,81
534,100,10,1,1,67,100,50,85
535,100,10,1,1,69,100,50,77
536,100,10,1,1,71,100,50,79
537,100,10,1,1,73,100,50,77
538,100,10,1,1,75,100,50,106
542,100,10,1,1,83,100,50,68
539,100,10,1,1,77,100,50,88
541,100,10,1,1,81,100,50,89
544,100,10,1,1,87,100,50,82
540,100,10,1,1,79,100,50,89
545,100,10,1,1,89,100,50,86
543,100,10,1,1,85,100,50,96
548,100,10,1,1,95,100,50,72
550,100,10,1,1,99,100,50,65
549,100,10,1,1,97,100,50,69
546,100,10,1,1,91,100,50,89
547,100,10,1,1,93,100,50,94
555,100,10,1,1,9,200,50,120
557,100,10,1,1,13,200,50,96
558,100,10,1,1,15,200,50,99
559,100,10,1,1,17,200,50,97
556,100,10,1,1,11,200,50,137
560,100,10,1,1,19,200,50,106
554,100,10,1,1,7,200,50,155
501,100,10,1,1,1,100,50,587
564,100,10,1,1,27,200,50,92
562,100,10,1,1,23,200,50,101
561,100,10,1,1,21,200,50,113
565,100,10,1,1,29,200,50,75
