,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
326,100.0,10.0,1.0,0.0,93.0,100.0,50.0,22.73
327,100.0,10.0,1.0,0.3,93.0,100.0,50.0,27.91
328,100.0,10.0,1.0,2.0,93.0,100.0,50.0,1811.69
329,100.0,10.0,1.0,1.3000000000000003,95.0,100.0,50.0,157.8
330,100.0,10.0,1.0,1.5999999999999996,95.0,100.0,50.0,370.22
331,100.0,10.0,1.0,0.6,95.0,100.0,50.0,39.39
332,100.0,10.0,1.0,1.0,95.0,100.0,50.0,77.79
333,100.0,10.0,1.0,0.0,95.0,100.0,50.0,22.03
334,100.0,10.0,1.0,0.3,95.0,100.0,50.0,27.98
335,100.0,10.0,1.0,2.0,95.0,100.0,50.0,1838.49
336,100.0,10.0,1.0,1.3000000000000003,97.0,100.0,50.0,161.55
337,100.0,10.0,1.0,1.5999999999999996,97.0,100.0,50.0,391.9
338,100.0,10.0,1.0,0.6,97.0,100.0,50.0,38.02
339,100.0,10.0,1.0,1.0,97.0,100.0,50.0,78.99
340,100.0,10.0,1.0,0.0,97.0,100.0,50.0,21.45
341,100.0,10.0,1.0,0.3,97.0,100.0,50.0,26.35
342,100.0,10.0,1.0,2.0,97.0,100.0,50.0,1959.47
343,100.0,10.0,1.0,1.3000000000000003,99.0,100.0,50.0,159.24
344,100.0,10.0,1.0,1.5999999999999996,99.0,100.0,50.0,384.58
345,100.0,10.0,1.0,0.6,99.0,100.0,50.0,38.2
346,100.0,10.0,1.0,1.0,99.0,100.0,50.0,77.77
347,100.0,10.0,1.0,0.0,99.0,100.0,50.0,22.36
348,100.0,10.0,1.0,0.3,99.0,100.0,50.0,26.95
349,100.0,10.0,1.0,2.0,99.0,100.0,50.0,1981.55
