,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
169,100.0,10.0,0.0,1.0,49.0,100.0,50.0,27.72
170,100.0,10.0,1.3000000000000003,1.0,49.0,100.0,50.0,97.9
171,100.0,10.0,1.0,1.0,49.0,100.0,50.0,86.1
172,100.0,10.0,0.6,1.0,49.0,100.0,50.0,62.5
173,100.0,10.0,1.5999999999999996,1.0,49.0,100.0,50.0,114.12
174,100.0,10.0,2.0,1.0,49.0,100.0,50.0,133.09
175,100.0,10.0,0.3,1.0,51.0,100.0,50.0,45.79
176,100.0,10.0,0.0,1.0,51.0,100.0,50.0,26.74
177,100.0,10.0,1.3000000000000003,1.0,51.0,100.0,50.0,100.56
178,100.0,10.0,1.0,1.0,51.0,100.0,50.0,84.78
179,100.0,10.0,0.6,1.0,51.0,100.0,50.0,61.65
180,100.0,10.0,1.5999999999999996,1.0,51.0,100.0,50.0,116.39
181,100.0,10.0,2.0,1.0,51.0,100.0,50.0,136.67
182,100.0,10.0,0.3,1.0,53.0,100.0,50.0,44.18
183,100.0,10.0,0.0,1.0,53.0,100.0,50.0,25.85
184,100.0,10.0,1.3000000000000003,1.0,53.0,100.0,50.0,97.82
185,100.0,10.0,1.0,1.0,53.0,100.0,50.0,85.62
186,100.0,10.0,0.6,1.0,53.0,100.0,50.0,63.39
187,100.0,10.0,1.5999999999999996,1.0,53.0,100.0,50.0,114.51
188,100.0,10.0,2.0,1.0,53.0,100.0,50.0,135.08
189,100.0,10.0,0.3,1.0,55.0,100.0,50.0,44.45
190,100.0,10.0,0.0,1.0,55.0,100.0,50.0,26.24
191,100.0,10.0,1.3000000000000003,1.0,55.0,100.0,50.0,97.73
192,100.0,10.0,1.0,1.0,55.0,100.0,50.0,82.37
193,100.0,10.0,0.6,1.0,55.0,100.0,50.0,60.69
194,100.0,10.0,1.5999999999999996,1.0,55.0,100.0,50.0,114.71
195,100.0,10.0,2.0,1.0,55.0,100.0,50.0,135.2
196,100.0,10.0,0.3,1.0,57.0,100.0,50.0,43.9
197,100.0,10.0,0.0,1.0,57.0,100.0,50.0,25.67
198,100.0,10.0,1.3000000000000003,1.0,57.0,100.0,50.0,94.52
199,100.0,10.0,1.0,1.0,57.0,100.0,50.0,83.41
200,100.0,10.0,0.6,1.0,57.0,100.0,50.0,60.29
201,100.0,10.0,1.5999999999999996,1.0,57.0,100.0,50.0,111.99
202,100.0,10.0,2.0,1.0,57.0,100.0,50.0,135.46
203,100.0,10.0,0.3,1.0,59.0,100.0,50.0,44.1
204,100.0,10.0,0.0,1.0,59.0,100.0,50.0,23.82
205,100.0,10.0,1.3000000000000003,1.0,59.0,100.0,50.0,97.38
206,100.0,10.0,1.0,1.0,59.0,100.0,50.0,82.4
207,100.0,10.0,0.6,1.0,59.0,100.0,50.0,60.22
208,100.0,10.0,1.5999999999999996,1.0,59.0,100.0,50.0,112.71
209,100.0,10.0,2.0,1.0,59.0,100.0,50.0,132.93
210,100.0,10.0,0.3,1.0,61.0,100.0,50.0,41.94
211,100.0,10.0,0.0,1.0,61.0,100.0,50.0,23.04
212,100.0,10.0,1.3000000000000003,1.0,61.0,100.0,50.0,99.15
213,100.0,10.0,1.0,1.0,61.0,100.0,50.0,80.93
214,100.0,10.0,0.6,1.0,61.0,100.0,50.0,60.38
215,100.0,10.0,1.5999999999999996,1.0,61.0,100.0,50.0,110.02
216,100.0,10.0,2.0,1.0,61.0,100.0,50.0,133.32
217,100.0,10.0,0.3,1.0,63.0,100.0,50.0,42.53
218,100.0,10.0,0.0,1.0,63.0,100.0,50.0,23.16
219,100.0,10.0,1.3000000000000003,1.0,63.0,100.0,50.0,97.4
220,100.0,10.0,1.0,1.0,63.0,100.0,50.0,81.74
221,100.0,10.0,0.6,1.0,63.0,100.0,50.0,59.95
222,100.0,10.0,1.5999999999999996,1.0,63.0,100.0,50.0,111.87
223,100.0,10.0,2.0,1.0,63.0,100.0,50.0,134.86
224,100.0,10.0,0.3,1.0,65.0,100.0,50.0,42.5
225,100.0,10.0,0.0,1.0,65.0,100.0,50.0,22.42
226,100.0,10.0,1.3000000000000003,1.0,65.0,100.0,50.0,96.06
227,100.0,10.0,1.0,1.0,65.0,100.0,50.0,80.51
228,100.0,10.0,0.6,1.0,65.0,100.0,50.0,59.16
229,100.0,10.0,1.5999999999999996,1.0,65.0,100.0,50.0,112.69
230,100.0,10.0,2.0,1.0,65.0,100.0,50.0,132.01
231,100.0,10.0,0.3,1.0,67.0,100.0,50.0,43.44
232,100.0,10.0,0.0,1.0,67.0,100.0,50.0,21.72
233,100.0,10.0,1.3000000000000003,1.0,67.0,100.0,50.0,95.69
234,100.0,10.0,1.0,1.0,67.0,100.0,50.0,80.28
235,100.0,10.0,0.6,1.0,67.0,100.0,50.0,59.09
236,100.0,10.0,1.5999999999999996,1.0,67.0,100.0,50.0,113.82
237,100.0,10.0,2.0,1.0,67.0,100.0,50.0,130.28
238,100.0,10.0,0.3,1.0,69.0,100.0,50.0,41.83
239,100.0,10.0,0.0,1.0,69.0,100.0,50.0,21.89
240,100.0,10.0,1.3000000000000003,1.0,69.0,100.0,50.0,95.6
241,100.0,10.0,1.0,1.0,69.0,100.0,50.0,81.01
242,100.0,10.0,0.6,1.0,69.0,100.0,50.0,58.71
243,100.0,10.0,1.5999999999999996,1.0,69.0,100.0,50.0,111.67
244,100.0,10.0,2.0,1.0,69.0,100.0,50.0,132.69
245,100.0,10.0,0.3,1.0,71.0,100.0,50.0,40.9
246,100.0,10.0,0.0,1.0,71.0,100.0,50.0,21.33
247,100.0,10.0,1.3000000000000003,1.0,71.0,100.0,50.0,96.96
248,100.0,10.0,1.0,1.0,71.0,100.0,50.0,78.84
249,100.0,10.0,0.6,1.0,71.0,100.0,50.0,59.76
250,100.0,10.0,1.5999999999999996,1.0,71.0,100.0,50.0,111.07
251,100.0,10.0,2.0,1.0,71.0,100.0,50.0,133.39
252,100.0,10.0,0.3,1.0,73.0,100.0,50.0,40.75
253,100.0,10.0,0.0,1.0,73.0,100.0,50.0,20.92
